,Element1,Element2,Element3,Element4,Element5,Element6,Element7,Element8,Element9,Element10,Element11,Element12,Element13,Element14,Element15,Element16,Element17,Element18,Element19,Element20,Element21,Element22,Element23,Element24,Element25,Element26,Element27,Element28,Element29,Element30,Element31,Element32,Element33,Element34,Element35,Element36,Element37,Element38,Element39,Element40,Element41,Element42,Element43,Element44,Element45,Element46,Element47,Element48,Element49,Element50,Element51,Element52,Element53,Element54,Element55,Element56,Element57,Element58,Element59,Element60,Element61,Element62,Element63,Element64,UE1's_SINR
timeslot_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,49.454605
timeslot_2,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.905663
timeslot_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.62072
timeslot_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1415925,3.1415925,3.1415925,3.1415925,0.0,0.0,0.0,0.0,3.1415925,3.1415925,3.1415925,3.1415925,0.0,0.0,0.0,0.0,3.1415925,3.1415925,3.1415925,3.1415925,0.0,0.0,0.0,0.0,3.1415925,3.1415925,3.1415925,3.1415925,0.0,0.0,0.0,0.0,45.449158
timeslot_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,49.454605
timeslot_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.62072
timeslot_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5707964,1.5707964,1.5707964,1.5707964,0.0,0.0,0.0,0.0,1.5707964,1.5707964,1.5707964,1.5707964,0.0,0.0,0.0,0.0,1.5707964,1.5707964,1.5707964,1.5707964,0.0,0.0,0.0,0.0,1.5707964,1.5707964,1.5707964,1.5707964,47.82383
timeslot_8,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,4.712389,4.712389,4.712389,4.712389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.632374
timeslot_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5707964,1.5707964,1.5707964,1.5707964,0.0,0.0,0.0,0.0,1.5707964,1.5707964,1.5707964,1.5707964,0.0,0.0,0.0,0.0,1.5707964,1.5707964,1.5707964,1.5707964,0.0,0.0,0.0,0.0,1.5707964,1.5707964,1.5707964,1.5707964,0.0,0.0,0.0,0.0,47.94031
timeslot_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5707964,1.5707964,1.5707964,1.5707964,0.0,0.0,0.0,0.0,1.5707964,1.5707964,1.5707964,1.5707964,0.0,0.0,0.0,0.0,1.5707964,1.5707964,1.5707964,1.5707964,0.0,0.0,0.0,0.0,1.5707964,1.5707964,1.5707964,1.5707964,47.82383
